,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,t_conf_atr
3,Nordex,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,3
4,Nordex,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,3
5,Nordex,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,3
6,Nordex,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,3
7,Nordex,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,3
8,Nordex,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,3
9,Nordex,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,3
10,Nordex,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,3
11,Nordex,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,3
12,Nordex,AW125/3000,3000.0,87.5,125.0,12271.85,150.0,3
13,GE Wind,GE1.68-82.5,1680.0,80.0,82.5,5345.62,121.3,3
14,GE Wind,GE1.68-82.5,1680.0,80.0,82.5,5345.62,121.3,3
15,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
16,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
17,GE Wind,GE1.6-82.5,1600.0,80.0,82.5,5345.62,121.3,3
18,GE Wind,GE1.6-82.5,1600.0,80.0,82.5,5345.62,121.3,3
19,GE Wind,GE1.6-82.5,1600.0,80.0,82.5,5345.62,121.3,3
20,GE Wind,GE1.6-82.5,1600.0,80.0,82.5,5345.62,121.3,3
21,GE Wind,GE1.6-82.5,1600.0,80.0,82.5,5345.62,121.3,3
22,GE Wind,GE1.6-82.5,1600.0,80.0,82.5,5345.62,121.3,3
23,Vestas,V80-1.8,1800.0,78.0,80.0,5026.55,118.0,3
24,Vestas,V80-1.8,1800.0,78.0,80.0,5026.55,118.0,3
25,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
26,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
27,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
28,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
29,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
30,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
31,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
32,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
33,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
34,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
35,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
36,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
37,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
38,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
39,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
40,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
41,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
42,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
43,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
44,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
45,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
46,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
47,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
48,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
49,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
50,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
51,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
52,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
53,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
54,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
55,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
56,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
57,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
58,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
59,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
60,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
61,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
62,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
63,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
64,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
65,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
66,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
67,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
68,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
69,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
70,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
71,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
72,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
73,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
74,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
75,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
76,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
77,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
78,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
79,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
80,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
81,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
82,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
83,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
84,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
85,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
86,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
87,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
88,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
89,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
90,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
91,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
92,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
93,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
94,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
95,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
96,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
97,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
98,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
99,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
100,Siemens,SWT-2.3-93,2300.0,80.0,93.0,6792.91,126.5,2
101,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
102,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
103,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
104,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
105,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
106,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
107,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
108,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
109,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
110,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
111,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
112,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
113,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
114,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
115,Siemens,SWT-2.3-108,2346.0,115.0,108.0,9160.88,168.9,2
116,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
117,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
118,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
119,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
120,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
121,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
122,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
123,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
124,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
125,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
126,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
127,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
128,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
129,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
130,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
131,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
132,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
133,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
134,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
135,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
136,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
137,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
138,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
139,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
140,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
141,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
142,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
143,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
144,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
145,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
146,Siemens,SWT-2.3-108,2346.0,115.0,108.0,9160.88,168.9,3
147,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
148,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
149,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
150,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
151,Siemens,SWT-2.3-108,2346.0,115.0,108.0,9160.88,168.9,2
152,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
153,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
154,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
155,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
156,Siemens,SWT-2.3-108,2346.0,115.0,108.0,9160.88,168.9,2
157,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
158,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
159,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
160,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
161,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
162,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
163,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
164,Siemens,SWT-2.3-108,2415.0,80.0,108.0,9160.88,134.1,3
165,Alstom,ECO 86,1670.0,80.0,85.5,5741.46,122.8,3
166,Alstom,ECO 86,1670.0,80.0,85.5,5741.46,122.8,3
167,Alstom,ECO 86,1670.0,80.0,85.5,5741.46,122.8,3
168,Alstom,ECO 86,1670.0,80.0,85.5,5741.46,122.8,3
169,Alstom,ECO 86,1670.0,80.0,85.5,5741.46,122.8,3
170,Alstom,ECO 86,1670.0,80.0,85.5,5741.46,122.8,3
171,Alstom,ECO 86,1670.0,80.0,85.5,5741.46,122.8,3
172,Alstom,ECO 86,1670.0,80.0,85.5,5741.46,122.8,3
173,Alstom,ECO 86,1670.0,80.0,85.5,5741.46,122.8,3
174,Alstom,ECO 86,1670.0,80.0,85.5,5741.46,122.8,3
175,Alstom,ECO 86,1670.0,80.0,85.5,5741.46,122.8,3
176,Alstom,ECO 86,1670.0,80.0,85.5,5741.46,122.8,3
177,Vestas,V47-0.66,660.0,65.0,47.0,1734.94,88.4,3
178,Vestas,V47-0.66,660.0,65.0,47.0,1734.94,88.4,3
179,Vestas,V47-0.66,660.0,65.0,47.0,1734.94,88.4,3
180,Suzlon,S88,2100.0,80.0,88.0,6082.12,124.1,3
181,Suzlon,S88,2100.0,80.0,88.0,6082.12,124.1,3
182,Suzlon,S88,2100.0,80.0,88.0,6082.12,124.1,3
183,Suzlon,S88,2100.0,80.0,88.0,6082.12,124.1,3
184,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
185,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
186,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
187,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
188,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
189,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
190,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
191,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
192,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
193,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
194,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
195,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
196,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
197,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
198,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
199,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
200,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
201,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
202,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
203,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
204,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
205,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
206,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
207,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
208,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
209,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
210,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
211,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
212,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
213,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
214,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
215,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
216,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
217,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
218,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
219,Vestas,V82-1.65,1650.0,70.0,82.0,5281.02,110.9,3
220,Fuhrlander,FL1500,1500.0,80.0,77.0,4656.63,118.6,3
221,Gamesa,G87-2.0,2000.0,78.0,87.0,5944.68,121.6,3
222,Vestas,V44-0.6,600.0,55.0,44.0,1520.53,77.1,3
223,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
224,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
225,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
226,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
227,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
228,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
229,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
230,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
231,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
232,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
233,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
234,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
235,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
236,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
237,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
238,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
239,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
240,Siemens,SWT-2.3-108,2300.0,80.0,108.0,9160.88,134.1,3
