,plant_id,plant,op,op_id,plant_state,region,rpm,fuel_usage,net_gen
0,1,Sand Point,"TDX Sand Point Generating, LLC",63560,AK,PACN,WT,3045,347.0
81,90,Snake River,Nome Joint Utility Systems,13642,AK,PACN,WT,20906,2383.0
462,508,Lamar Plant,City of Lamar - (CO),10633,CO,MTN,WT,116085,13232.0
704,692,Medicine Bow,SRIV Partnership LLC,62042,WY,MTN,WT,141429,16121.0
865,944,Geneseo,City of Geneseo - (IL),7095,IL,ENC,WT,51368,5855.0
1062,1172,Osage (IA),City of Osage - (IA),14201,IA,WNC,WT,38364,4373.0
1683,1998,Mountain Lake,City of Mountain Lake - (MN),13048,MN,WNC,WT,26994,3077.0
1718,2022,Willmar,Willmar Municipal Utilities,20737,MN,WNC,WT,33538,3822.879
1719,2022,Willmar,Willmar Municipal Utilities,20737,MN,WNC,WT,29258,3335.121
1723,2024,Worthington,City of Worthington - (MN),21013,MN,WNC,WT,94793,10805.0
1914,2240,Lon Wright,City of Fremont - (NE),6779,NE,WNC,WT,1750872,199575.0
3494,6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,10451,AK,PACN,WT,34943,3983.0
3888,7381,Searsburg Wind Turbine,Green Mountain Power Corp,7601,VT,NEW,WT,107468,12250.0
3957,7501,Princeton Wind Farm,Town of Princeton - (MA),15371,MA,NEW,WT,36258,4133.0
3972,7526,Solano Wind,Sacramento Municipal Util Dist,16534,CA,PACC,WT,4875815,555775.0
4050,7771,Springview,Bluestem LLC,58190,NE,WNC,WT,88308,10066.0
4150,7855,Moorhead Wind Turbine,City of Moorhead - (MN),12894,MN,WNC,WT,19415,2213.0
4176,7886,Wind Turbine,Madison Gas & Electric Co,11479,WI,ENC,WT,153905,17543.0
4215,7927,Buffalo Mountain,Tennessee Valley Authority,18642,TN,ESC,WT,0,0.0
4225,7936,Nine Canyon,Energy Northwest,20160,WA,PACC,WT,2345741,267382.0
4246,7965,Salt Valley Wind Plant,Lincoln Electric System,11018,NE,WNC,WT,21503,2451.0
4247,7966,Iowa Distributed Wind Generation Project,City of Algona - (IA),309,IA,WNC,WT,44961,5125.0
4252,7974,Chamberlain Wind Project,Basin Electric Power Coop,1307,SD,WNC,WT,8325,949.0
4460,10005,Dinosaur Point,International Turbine Res Inc,9397,CA,PACC,WT,83809,9553.0
4618,10191,Tehachapi Wind Resource I,CalWind Resources Inc,2719,CA,PACC,WT,121067,13800.0
4966,10586,Cameron Ridge LLC,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,1296623,147797.0
4969,10597,Ridgetop Energy LLC,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,346165,39458.0
5104,10718,Karen Avenue Wind Farm,San Gorgonio Farms Inc,16630,CA,PACC,WT,257294,29328.0
5201,10823,Deer Island Treatment Plant,Massachusetts Wtr Rauth-Deer I,11427,MA,NEW,WT,16527,1883.97
5525,50276,Wintec Energy Ltd,Wintec Energy Ltd,20707,CA,PACC,WT,5108,582.0
5533,50281,San Gorgonio Farms Wind Farm,San Gorgonio Farms Inc,16630,CA,PACC,WT,754303,85980.0
5628,50386,Windland,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,46479,5298.0
5771,50485,Altech III,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,0,0.0
5798,50532,Victory Garden (Tehachapi),Wind Stream Operations LLC,56899,CA,PACC,WT,191243,21799.0
5799,50535,Mesa Wind Power Corp,Brookfield Renewable Trading and Marketing LP,63235,CA,PACC,WT,7124,812.0
5800,50536,Sky River Wind Energy Center,Sky River Wind LLC,64156,CA,PACC,WT,324463,36984.0
5816,50552,GPS Cabazon Wind LLC,GlidePath Power Operations LLC,61728,CA,PACC,WT,297545,33916.0
5817,50553,Edom Hills Project 1 LLC,"Red Marlin Wind Ventures, LLC",61208,CA,PACC,WT,260031,29640.0
5952,50690,San Gorgonio Westwinds II LLC,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,1069850,121948.0
5990,50754,Oak Creek Energy Systems I,Oak Creek Energy System Inc II,13938,CA,PACC,WT,545884,62223.0
6041,50820,East Winds Project,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,62306,7102.0
6042,50821,Mojave 16/17/18,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,859676,97991.0
6351,52142,Mojave 3/4/5,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,1296141,147742.0
6375,52160,Victory Garden Phase IV LLC,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,16195,1846.0
6376,52161,Terra-Gen 251 Wind LLC,Terra-Gen Operating Co-Wind,2770,CA,PACC,WT,0,0.0
6377,52162,85 A,Wind Wall 1 LLC,64311,CA,PACC,WT,0,0.0
